isco_code,descripcion,postings,institutions,median_salary,avg_salary,std_salary,cv_salary
3316,Tasadores,86,64,2450.0,3301.614534883721,2741.0136264286302,83.0
2423,Especialistas en políticas y servicios de personal y afines,300,179,1564.19,2969.644,2323.3613187180013,78.2
4110,Jefes de empleados administrativos,85,62,2864.19,3537.1857647058823,2311.174202380365,65.3
3321,Agentes de seguros,78,39,2000.0,2862.271025641026,1844.563254002019,64.4
2431,Profesionales de la publicidad y la comercialización,54,40,2500.0,3185.002592592593,2046.256855712802,64.2
1223,Directores de investigación y desarrollo,89,72,3000.0,4051.2615730337084,2581.4502500439635,63.7
2411,Contadores,295,163,2500.0,3210.231084745763,2046.3194689722172,63.7
1499,Otros gerentes de servicios,119,50,3600.0,4418.745798319328,2791.9290639677724,63.2
1134,"Directores generales de servicios de abastecimiento, distribución, transporte y afines",106,96,3000.0,3454.3841509433964,2116.772819509236,61.3
1221,Directores de ventas y comercialización,67,59,3800.0,4639.311343283582,2836.082296430047,61.1
2312,Profesores de educación técnico productivos,52,25,1764.19,2655.765576923077,1571.8630469286002,59.2
5412,Policías municipales,94,65,1850.0,2270.861914893617,1326.5078798458255,58.4
3343,Personal e inspectores de servicios de seguridad social,56,39,1750.0,2210.9564285714287,1250.3520247593235,56.6
1212,Directores de recursos humanos y/o relaciones laborales,132,114,3200.0,3947.8146212121214,2229.0824613808554,56.5
3313,Técnicos en contabilidad,126,102,3000.0,3385.662380952381,1906.1576640697601,56.3
1211,"Directores en servicios financieros, de presupuesto y/o contabilidad",83,67,4000.0,5056.438795180723,2790.0074497279666,55.2
2422,Especialistas en políticas de administración,770,312,3067.0950000000003,3933.7284935064936,2137.954252058189,54.3
4120,Secretarios,407,175,2500.0,3002.6121130221127,1597.7895675883126,53.2
2253,Profesionales de la salud y la higiene laboral y ambiental,59,43,3000.0,3511.4866101694915,1862.9208277840905,53.1
3212,Técnicos de laboratorios médicos,103,58,2164.19,2688.6351456310676,1414.362043539636,52.6
2424,Especialistas en formación del personal,275,172,3500.0,4327.349490909091,2276.5584810660166,52.6
2351,Especialistas en métodos pedagógicos,253,155,3500.0,4710.663636363636,2465.3336119632204,52.3
3314,Técnicos en administración,547,242,2164.19,2401.646014625229,1188.6128654300246,49.5
2421,Analistas de gestión y organización,100,77,4000.0,4512.8492,2156.5259520970394,47.8
2512,Especialistas programadores,115,68,3750.0,4478.048,2114.8889830036414,47.2
5142,Especialistas en tratamientos de belleza y afines,70,57,4000.0,4711.0094285714285,2196.263056296272,46.6
2212,Médicos especialistas,751,225,4578.0,5251.196564580559,2355.684222867555,44.9
2511,Analistas de sistemas,290,109,3122.5,3902.707103448276,1749.811560999695,44.8
1421,Gerentes de abastecimiento y distribución,79,57,2900.0,2994.3856962025316,1337.106381654327,44.7
4419,Otro personal de apoyo administrativo,1448,344,2183.0699999999997,2422.0613604972377,1072.835078273205,44.3
2221,Profesionales de enfermería,266,103,3264.19,3870.2702255639097,1701.7450711278332,44.0
8332,Conductores de camiones pesados,63,39,2472.0,2626.7014285714286,1154.894955369643,44.0
2611,Abogados,175,103,3500.0,3867.2037714285716,1684.6527589444147,43.6
