Gran grupo,Sub grupo principal,Sub grupo,Grupo primario,Descripcion CNO 2015,Orden
1,,,,"Miembros del Poder Ejecutivo, Legislativo, Judicial y personal directivo de la administración pública y privada",1
,11,,,"Miembros del Poder Ejecutivo, Legislativo, Judicial y Directores Generales de la administración pública y privada",2
,,111,,"Miembros del Poder Ejecutivo y Legislativo, Judicial y personal directivo de la administración pública",3
,,,1111,Miembros del Poder Ejecutivo excepto jefes de pequeñas poblaciones ,4
,,,1112,Miembros del Poder Legislativo,5
,,,1113,Miembros del Poder Judicial ,6
,,,1114,Directivos de la administración pública,7
,,,1115,"Jefes de comunidades indígenas, etnias especiales y otras pequeñas poblaciones",8
,,112,,"Directores generales del sector privado agropecuario, la caza, la silvicultura y la pesca",9
,,,1121,"Directores generales del sector privado agropecuario, la caza y la silvicultura",10
,,,1122,Directores generales del sector privado de la piscicultura y la pesca,11
,,113,,"Directivos generales del sector privado de las  industrias manufactureras, de explotaciones mineras y la construcción",12
,,,1131,Directores generales del sector privado de la industria manufacturera,13
,,,1132,"Directores generales del sector privado de explotaciones mineras, petróleo y gas",14
,,,1133,Directores generales del sector privado de la construcción,15
,,,1134,"Directores generales de servicios de abastecimiento, distribución, transporte y afines",16
,,114,,"Directores generales del sector privado de servicios de alojamiento, de restaurantes y de comercios",17
,,,1141,Directores generales del sector privado del servicio de alojamiento,18
,,,1142,Directores generales del sector privado del servicio de restaurante,19
,,,1143,Directores generales del sector privado del comercio al por mayor,20
,,,1144,Directores generales del sector privado del comercio al por menor,21
,,115,,Directores generales del sector privado de servicios de tecnología de la información y las comunicaciones (TIC),22
,,,1150,Directores generales del sector privado de servicios de tecnología de la información y las comunicaciones (TIC),23
,,116,,"Directores generales del sector privado de cuidados personales, educativos, culturales, financieros y salud",24
,,,1161,Directores generales del sector privado que presentan servicios de cuidados infantiles,25
,,,1162,Directores generales de centros culturales y entretenimiento,26
,,,1163,Directores generales del sector privado que prestan servicios de salud,27
,,,1164,Directores generales del sector privado que prestan servicios de cuidado de adultos mayores,28
,,,1165,Directores generales del sector privado que presenta servicios de bienestar social ,29
,,,1166,Directores generales del sector privado que presenta servicios de educación,30
,,,1167,Directores generales del sector privado que prestan servicios financieros y de seguros,31
,,,1169,Otros directores generales del sector privado que prestan servicios profesionales,32
,,117,,Directivos de organizaciones de interés social,33
,,,1171,Dirigentes de organizaciones políticas,34
,,,1172,Dirigentes de organizaciones gremiales,35
